Count,Pattern,Gram,quintile
1071,v2 v1 ,Two,1
1046,v3 v2 ,Two,1
855,v4 v3 ,Two,1
749,^6 v5 ,Two,1
746,^2 ^3 ,Two,1
561,v3 v2 v1 ,Three,1
506,v4 v3 v2 ,Three,1
427,v5 v4 v3 ,Three,1
351,^3 ^4 ^5 ,Three,1
331,^3 v2 v1 ,Three,1
154,v5 v4 v3 v2 v1 ,Five,1
148,^6 v5 v4 v3 v2 ,Five,1
86,^5 ^6 v5 v4 v3 ,Five,1
84,^5 v4 v3 v2 v1 ,Five,1
72,v6 v5 v4 v3 v2 ,Five,1
45,^4 ^5 ^6 v5 v4 v3 v2 ,Seven,1
42,^5 ^6 v5 v4 v3 v2 v1 ,Seven,1
32,^1 v7 v6 v5 v4 v3 v2 ,Seven,1
32,^6 v5 v4 v3 v2 v1 v7 ,Seven,1
29,^3 ^4 ^5 ^6 v5 v4 v3 ,Seven,1
17,^2 v7- ,Two,2
17,^5+ ^7 ,Two,2
17,3 ^6 ,Two,2
17,v4 v2- ,Two,2
17,v5 v7 ,Two,2
14,^3 ^4 ^5 ^6 v5 v4 v3 v2 v1 ,Nine,1
13,^5 ^6 v5 v4 v3 v2 v1 ^2 ^3 ,Nine,1
12,^2 ^3 ^4 ^5 ^6 v5 v4 v3 v2 ,Nine,1
11,^4 ^5 ^6 v5 v4 v3 v2 v1 ^2 ,Nine,1
8,^5 v4 v3 v2 v1 v7 ^1 ^2 ^3 ,Nine,1
6,^1 ^2+ ,Two,3
6,^3 v4+ ,Two,3
5,v7 v3 ,Two,3
5,2 v1+ ,Two,3
5,v2 ^6- ,Two,3
4,1 v1+ ^2 ,Three,2
4,1 v7- 7- ,Three,2
4,v2 v5 ^3 ,Three,2
4,^1 v3 ^6 ,Three,2
4,^5 v4+ v3 ,Three,2
2,^6 v4 v3 ^4 ^5 ,Five,2
2,v2 v7 ^1 1 1 ,Five,2
2,v2 ^1 1 ^2 v1 ,Five,2
2,5 ^2 v1 ^2 ^3 ,Five,2
2,^5 v4 v2 ^4 v3 ,Five,2
2,6 ^1 v5 ,Three,3
2,v7- ^7- v6 ,Three,3
2,^6 v5 v6 ,Three,3
2,^4 ^4+ ^1 ,Three,3
2,v7 ^5 v7 ,Three,3
2,v5 v1+ ,Two,4
2,^6- ^4 ,Two,4
2,5+ ^6+ ,Two,4
2,^1- v7- ,Two,4
2,^1 7 ,Two,4
1,v5 ^6+ ^7 ^1 5 ,Five,3
1,^6 v4 ^7 ^1 v5 ,Five,3
1,v3 v1 ^2 v7- 7- ,Five,3
1,v3+ ^4 ^4+ ^5 v5 ,Five,3
1,2- ^3- v2- v1 v7 ,Five,3
1,v5- v3 3 ^4+ v3 ,Five,4
1,^1 v7 ^1 1 ^3 ,Five,4
1,v3 ^5 v4+ v2+ v1 ,Five,4
1,v3 v2 ^6 v1 ^3 ,Five,4
1,v7 ^2 ^5 ^7 v6+ ,Five,4
1,v2 2 ^3 ^4 v2 ,Five,5
1,v6 v5 ^6 v4 v1 ,Five,5
1,v2- v1 v7 ^2 v5 ,Five,5
1,^3 ^5 5 v4+ ^5 ,Five,5
1,v6 v5 ^6 ^7- v5 ,Five,5
1,v7 v6 v5 ^6 v5 v4 ^5 ^6 v5 ,Nine,2
1,v7 v5 5 ^1 v3 ^5 v4+ v4 ^2 ,Nine,2
1,^6 ^1 ^3 v2 v1 5 ^1 ^3 3 ,Nine,2
1,^1 ^4 v3 ^4 v3 v1 ^2 ^3- v2 ,Nine,2
1,7 v6 ^7 ^2- ^3 ^4+ 4+ ^5 5 ,Nine,2
1,^3 ^4 v2 v7 ^1 ^2 ^3 3 ^4 ,Nine,3
1,^1+ v7 ^1 ^4 v3 v2- ^3- v1 2- ,Nine,3
1,v3 ^5 5 5 v1 ^5 5 5 ^6+ ,Nine,3
1,^3- ^4+ ^5 v3 v1 ^2 ^3 v1 v6 ,Nine,3
1,^1 v7 v6 v5 v3 ^1 v7 v6 v5 ,Nine,3
1,^2 ^4 v3 v2 v1 v3 v2+ ^3 ^5+ ,Nine,4
1,v6 v5 v4 v3 ^4 v6 ^7 ^3 v2 ,Nine,4
1,^1 v2 v1+ ^2 ^4 4 v3 v2 v1 ,Nine,4
1,v2 v1+ 7- ^1 ^2- v1 ^2- ^3- v2- ,Nine,4
1,^4 ^5 ^6 v5 ^6 v5 v4 v3 ^4 ,Nine,4
1,v5 v4 v6+ ^7 ^3+ v3 v2 v5 ^4 ,Nine,5
1,v5 ^5+ ^6 ^1 v4 ^6 v2 ^2 v1 ,Nine,5
1,^5 5 ^6- v2 ^6- v5 ^6 v3- ^6 ,Nine,5
1,v1 v7 v6+ ^1 v7 v6+ v5 v4- ^5 ,Nine,5
1,^4 v3+ v2 v1 v4+ ^5 ^7 ^2 ^4 ,Nine,5
1,v1 ^2 v1 v7 ^1 ^3 v2 ,Seven,2
1,v2 v1 1 ^3 v7 ^1 v5 ,Seven,2
1,v5 ^1 ^2 ^3 ^4 ^6 v5 ,Seven,2
1,1 1 1 ^3 v2 v1 ^3 ,Seven,2
1,v7 ^1 1 ^3- ^5 ^6- v7 ,Seven,2
1,^4 v6- v5- ^6- ^4 v2- 2- ,Seven,3
1,v2 v6 ^7 v5 ^6 ^4 v3 ,Seven,3
1,^5 ^6 v5 v4 v3 v2 v5 ,Seven,3
1,5 5 ^6 ^7 ^1 ^2 ^3 ,Seven,3
1,^3 v1 ^2 v1 v7 ^2 v1 ,Seven,3
1,^6 v5+ v4 ^5+ v3 v1 v7- ,Seven,4
1,v3 ^4 4 v2+ ^3 v2 ^4 ,Seven,4
1,v3- ^4 4 4 4 v2- ^6 ,Seven,4
1,v3 v1 1 1 ^5 v4 ^5 ,Seven,4
1,^2 v6 ^2 v1 ^5 v4+ v2 ,Seven,4
1,1 ^3 v1 ^5 v3 v2 ^3 ,Seven,5
1,v4 ^4+ ^5+ ^6 v6- v5 v5- ,Seven,5
1,^1 ^2 v7 v5 ^7- ^1 ^2 ,Seven,5
1,v1 v7- ^4 4 4 v3 v2 ,Seven,5
1,^1 ^3- ^5- v4 ^7- v6 v4+ ,Seven,5
1,^1 v6 v5+ ,Three,4
1,4+ v4 4 ,Three,4
1,^5 ^6- ^2- ,Three,4
1,v6 v1 v6 ,Three,4
1,v7 v4+ v3 ,Three,4
1,v1 v7- ^7 ,Three,5
1,^1 v4 ^2 ,Three,5
1,v7 v4 ^7 ,Three,5
1,^3 ^2 2 ,Three,5
1,^7 v6 ^3 ,Three,5
1,^5 ^1+ ,Two,5
1,v6+ ^1+ ,Two,5
1,^5 v5+ ,Two,5
1,^2 ^2- ,Two,5
1,v3 1 ,Two,5
