"subject","rt","button_pressed_vector_c","trial_answer","score","trial_length","stimulus","serial_order"
55070,"1547.7549999486655","do","do",1,2,"^1_^2+",1
55070,"1030.9200000483543","me","me",1,2,"^1_^2+",2
55070,"5705.544999917038","mi","mi",1,2,"3_^6",1
55070,"1295.1849999371916","la","la",1,2,"3_^6",2
55070,"1044.0399999497458","re","re",1,2,"v2_v1",1
55070,"665.9900000086054","do","do",1,2,"v2_v1",2
55070,"941.5099999168888","fa","fa",1,2,"v4_v3",1
55070,"783.5650000488386","mi","mi",1,2,"v4_v3",2
55070,"2931.0350000159815","re","re",1,2,"^2_v7-",1
55070,"1011.5200000582263","te","te",1,2,"^2_v7-",2
55070,"1255.1400000229478","mi","mi",1,2,"v3_v2",1
55070,"695.5050000688061","re","re",1,2,"v3_v2",2
55070,"12750.090000103228","sol","sol",1,2,"v5_v1+",1
55070,"1544.2150000017136","ra","ra",1,2,"v5_v1+",2
55070,"10044.579999987036","mi","mi",1,2,"^3_v4+",1
55070,"977.2349999984726","fi","fi",1,2,"^3_v4+",2
55070,"1596.2649999419227","sol","sol",1,2,"^5_^1+",1
55070,"4563.360000029206","ra","ra",1,2,"^5_^1+",2
55070,"936.989999958314","ti","ti",1,2,"v7_v3",1
55070,"971.4349999558181","mi","mi",1,2,"v7_v3",2
55070,"1906.0949999839067","re","re",1,3,"v2_v5_^3",1
55070,"2173.94999996759","sol","sol",1,3,"v2_v5_^3",2
55070,"976.7850000644103","mi","mi",1,3,"v2_v5_^3",3
55070,"2130.394999985583","do","do",1,3,"^1_v6_v5+",1
55070,"1183.034999994561","la","la",1,3,"^1_v6_v5+",2
55070,"996.6850000200793","le","le",1,3,"^1_v6_v5+",3
55070,"1121.099999989383","fa","fa",1,3,"v4_v3_v2",1
55070,"586.3600000739098","mi","mi",1,3,"v4_v3_v2",2
55070,"566.3750000530854","re","re",1,3,"v4_v3_v2",3
55070,"980.6199999293312","sol","sol",1,3,"v5_v4_v3",1
55070,"743.5500000137836","fa","fa",1,3,"v5_v4_v3",2
55070,"621.9800000544637","mi","mi",1,3,"v5_v4_v3",3
55070,"1259.4899999676272","mi","mi",1,3,"v3_v2_v1",1
55070,"593.5599999502301","re","re",1,3,"v3_v2_v1",2
55070,"554.5250000432134","do","do",1,3,"v3_v2_v1",3
55070,"2646.629999973811","la","la",1,3,"6_^1_v5",1
55070,"680.8450000826269","do","do",1,3,"6_^1_v5",2
55070,"923.94999996759","sol","sol",1,3,"6_^1_v5",3
55070,"1144.1000000340864","do","do",1,3,"1_v1+_^2",1
55070,"545.8499999949709","ra","ra",1,3,"1_v1+_^2",2
55070,"501.56999996397644","re","re",1,3,"1_v1+_^2",3
55070,"1428.4250000491738","do","do",1,3,"v1_v7-_^7",1
55070,"560.5699999723583","te","te",1,3,"v1_v7-_^7",2
55070,"484.27000001538545","ti","ti",1,3,"v1_v7-_^7",3
55070,"884.9250000203028","do","do",1,3,"v1_v7-_7-",1
55070,"520.7749999826774","te","te",1,3,"v1_v7-_7-",2
55070,"455.33999998588115","te","te",1,3,"v1_v7-_7-",3
55070,"1962.4499999918044","la","la",1,5,"^6_v4_v3_^4_^5",1
55070,"2042.5149999791756","fa","fa",1,5,"^6_v4_v3_^4_^5",2
55070,"1917.9149999981746","mi","mi",1,5,"^6_v4_v3_^4_^5",3
55070,"907.4199999449775","fa","fa",1,5,"^6_v4_v3_^4_^5",4
55070,"677.4549999972805","sol","sol",1,5,"^6_v4_v3_^4_^5",5
55070,"1457.9149999190122","re","re",1,5,"v2_2_^3_^4_v2",1
55070,"540.2599999215454","re","re",1,5,"v2_2_^3_^4_v2",2
55070,"4714.450000086799","mi","mi",1,5,"v2_2_^3_^4_v2",3
55070,"537.8950000740588","fa","fa",1,5,"v2_2_^3_^4_v2",4
55070,"658.1950000254437","re","re",1,5,"v2_2_^3_^4_v2",5
55070,"901.2299999594688","sol","sol",1,5,"v5_v4_v3_v2_v1 ",1
55070,"517.0700000599027","fa","fa",1,5,"v5_v4_v3_v2_v1 ",2
55070,"407.00999996624887","mi","mi",1,5,"v5_v4_v3_v2_v1 ",3
55070,"510.96500002313405","re","re",1,5,"v5_v4_v3_v2_v1 ",4
55070,"470.9949999814853","do","1 ",0,5,"v5_v4_v3_v2_v1 ",5
55070,"1248.8750000484288","la","la",1,5,"^6_v5_v4_v3_v2",1
55070,"496.0999999893829","sol","sol",1,5,"^6_v5_v4_v3_v2",2
55070,"509.3099999940023","fa","fa",1,5,"^6_v5_v4_v3_v2",3
55070,"410.52499995566905","mi","mi",1,5,"^6_v5_v4_v3_v2",4
55070,"454.20999999623746","re","re",1,5,"^6_v5_v4_v3_v2",5
55070,"1587.9349999595433","sol","sol",1,5,"v5_^6+_^7_^1_5",1
55070,"527.2300000069663","la","te",0,5,"v5_^6+_^7_^1_5",2
55070,"625.8049999596551","ti","ti",1,5,"v5_^6+_^7_^1_5",3
55070,"634.0899999486282","do","do",1,5,"v5_^6+_^7_^1_5",4
55070,"884.1449999017641","sol","sol",1,5,"v5_^6+_^7_^1_5",5
55070,"1241.7249999707565","sol","sol",1,5,"^5_^6_v5_v4_v3",1
55070,"485.89500004891306","la","la",1,5,"^5_^6_v5_v4_v3",2
55070,"532.4000000255182","sol","sol",1,5,"^5_^6_v5_v4_v3",3
55070,"502.9649999924004","fa","fa",1,5,"^5_^6_v5_v4_v3",4
55070,"455.19999996759","mi","mi",1,5,"^5_^6_v5_v4_v3",5
55070,"3108.2200000528246","fi","fi",1,5,"v5-_v3_3_^4+_v3",1
55070,"521.7300000367686","mi","mi",1,5,"v5-_v3_3_^4+_v3",2
55070,"483.7950000073761","mi","mi",1,5,"v5-_v3_3_^4+_v3",3
55070,"547.3250000504777","fi","fi",1,5,"v5-_v3_3_^4+_v3",4
55070,"501.35999999474734","mi","mi",1,5,"v5-_v3_3_^4+_v3",5
55070,"961.0600000014529","sol","sol",1,5,"v5_v4_v3_v2_v1",1
55070,"481.48999991826713","fa","fa",1,5,"v5_v4_v3_v2_v1",2
55070,"381.4149999525398","mi","mi",1,5,"v5_v4_v3_v2_v1",3
55070,"510.2099999785423","re","re",1,5,"v5_v4_v3_v2_v1",4
55070,"436.09999993350357","do","do",1,5,"v5_v4_v3_v2_v1",5
55070,"1147.5499999942258","do","do",1,7,"^1_v7_v6_v5_v4_v3_v2",1
55070,"462.81500009354204","ti","ti",1,7,"^1_v7_v6_v5_v4_v3_v2",2
55070,"529.0250000543892","la","la",1,7,"^1_v7_v6_v5_v4_v3_v2",3
55070,"577.0950000733137","sol","sol",1,7,"^1_v7_v6_v5_v4_v3_v2",4
55070,"602.5299999164417","fa","fa",1,7,"^1_v7_v6_v5_v4_v3_v2",5
55070,"425.0499999616295","mi","mi",1,7,"^1_v7_v6_v5_v4_v3_v2",6
55070,"491.7849999619648","re","re",1,7,"^1_v7_v6_v5_v4_v3_v2",7
55070,"6706.660000025295","fa","fa",1,7,"^4_v6-_v5-_^6-_^4_v2-_2-",1
55070,"1981.9850000785664","la","le",0,7,"^4_v6-_v5-_^6-_^4_v2-_2-",2
55070,"621.0600000340492","la","fi",0,7,"^4_v6-_v5-_^6-_^4_v2-_2-",3
55070,"6206.544999964535","ti","le",0,7,"^4_v6-_v5-_^6-_^4_v2-_2-",4
55070,"1257.8099999809638","fa","fa",1,7,"^4_v6-_v5-_^6-_^4_v2-_2-",5
55070,"1044.389999937266","la","ra",0,7,"^4_v6-_v5-_^6-_^4_v2-_2-",6
55070,"500.6250001024455","la","ra",0,7,"^4_v6-_v5-_^6-_^4_v2-_2-",7
55070,"10726.919999928214","fa","fa",1,7,"^4_^5_^6_v5_v4_v3_v2",1
55070,"527.5600000750273","sol","sol",1,7,"^4_^5_^6_v5_v4_v3_v2",2
55070,"545.1800000155345","la","la",1,7,"^4_^5_^6_v5_v4_v3_v2",3
55070,"450.7149999262765","sol","sol",1,7,"^4_^5_^6_v5_v4_v3_v2",4
55070,"416.7100000195205","fa","fa",1,7,"^4_^5_^6_v5_v4_v3_v2",5
55070,"634.6599999815226","mi","mi",1,7,"^4_^5_^6_v5_v4_v3_v2",6
55070,"518.1350000202656","re","re",1,7,"^4_^5_^6_v5_v4_v3_v2",7
55070,"1360.3200000943616","la","la",1,7,"^6_v5+_v4_^5+_v3_v1_v7-",1
55070,"446.2749999947846","le","le",1,7,"^6_v5+_v4_^5+_v3_v1_v7-",2
55070,"948.3750000363216","sol","fa",0,7,"^6_v5+_v4_^5+_v3_v1_v7-",3
55070,"532.5400000438094","le","le",1,7,"^6_v5+_v4_^5+_v3_v1_v7-",4
55070,"2166.5600000414997","fa","mi",0,7,"^6_v5+_v4_^5+_v3_v1_v7-",5
55070,"1174.585000029765","me","do",0,7,"^6_v5+_v4_^5+_v3_v1_v7-",6
55070,"516.4900000672787","re","te",0,7,"^6_v5+_v4_^5+_v3_v1_v7-",7
55070,"971.0750000085682","sol","sol",1,7,"^5_^6_v5_v4_v3_v2_v1",1
55070,"492.2549999319017","la","la",1,7,"^5_^6_v5_v4_v3_v2_v1",2
55070,"488.1449999520555","sol","sol",1,7,"^5_^6_v5_v4_v3_v2_v1",3
55070,"504.0000000735745","fa","fa",1,7,"^5_^6_v5_v4_v3_v2_v1",4
55070,"395.87000000756234","mi","mi",1,7,"^5_^6_v5_v4_v3_v2_v1",5
55070,"437.4500000849366","re","re",1,7,"^5_^6_v5_v4_v3_v2_v1",6
55070,"415.6299999449402","do","do",1,7,"^5_^6_v5_v4_v3_v2_v1",7
55070,"1669.0499999094754","do","do",1,7,"v1_^2_v1_v7_^1_^3_v2",1
55070,"601.0300000198185","ra","re",0,7,"v1_^2_v1_v7_^1_^3_v2",2
55070,"495.89999997988343","do","do",1,7,"v1_^2_v1_v7_^1_^3_v2",3
55070,"732.6449999818578","ti","ti",1,7,"v1_^2_v1_v7_^1_^3_v2",4
55070,"858.269999967888","do","do",1,7,"v1_^2_v1_v7_^1_^3_v2",5
55070,"2947.0799999544397","mi","mi",1,7,"v1_^2_v1_v7_^1_^3_v2",6
55070,"467.61500008869916","re","re",1,7,"v1_^2_v1_v7_^1_^3_v2",7
55070,"1416.399999987334","do","do",1,7,"1_^3_v1_^5_v3_v2_^3",1
55070,"811.0549999400973","mi","mi",1,7,"1_^3_v1_^5_v3_v2_^3",2
55070,"607.9850000096485","do","do",1,7,"1_^3_v1_^5_v3_v2_^3",3
55070,"1246.3749999878928","sol","sol",1,7,"1_^3_v1_^5_v3_v2_^3",4
55070,"2228.4399999771267","mi","mi",1,7,"1_^3_v1_^5_v3_v2_^3",5
55070,"412.2800000477582","re","re",1,7,"1_^3_v1_^5_v3_v2_^3",6
55070,"513.9799999305978","mi","mi",1,7,"1_^3_v1_^5_v3_v2_^3",7
55070,"884.3249999918044","sol","sol",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",1
55070,"542.3749999608845","la","la",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",2
55070,"518.225000007078","sol","sol",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",3
55070,"565.815000096336","fa","fa",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",4
55070,"435.67999999504536","mi","mi",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",5
55070,"461.15999994799495","re","re",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",6
55070,"506.52999989688396","do","do",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",7
55070,"521.5450000250712","re","re",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",8
55070,"496.42000009771436","mi","mi",1,9,"^5_^6_v5_v4_v3_v2_v1_^2_^3",9
55070,"1050.5350000457838","sol","sol",1,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",1
55070,"579.9899999983609","fa","fa",1,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",2
55070,"4398.960000020452","la","te",0,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",3
55070,"572.2500000847504","ti","ti",1,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",4
55070,"5946.16000005044","mi","3+",0,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",5
55070,"504.57500002812594","me","mi",0,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",6
55070,"544.4949999218807","re","re",1,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",7
55070,"4263.789999997243","te","sol",0,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",8
55070,"1747.5049999775365","ra","fa",0,9,"v5_v4_v6+_^7_^3+_v3_v2_v5_^4",9
55070,"5386.389999999665","mi","mi",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",1
55070,"445.1549999648705","fa","fa",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",2
55070,"552.4100000038743","sol","5 ",0,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",3
55070,"959.8900000564754","la","la",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",4
55070,"468.3799999766052","sol","sol",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",5
55070,"842.8149999817833","fa","fa",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",6
55070,"546.3199999649078","mi","mi",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",7
55070,"611.9399999734014","re","re",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",8
55070,"2351.5599999809638","do","do",1,9,"^3_^4_^5 _^6_v5_v4_v3_v2_v1",9
55070,"2609.0750000439584","re","re",1,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",1
55070,"666.230000089854","fa","fa",1,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",2
55070,"405.1299999700859","mi","mi",1,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",3
55070,"487.9499999806285","re","re",1,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",4
55070,"948.0700000422075","do","do",1,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",5
55070,"1184.9499999079853","fi","mi",0,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",6
55070,"1705.7400000048801","mi","me",0,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",7
55070,"665.8400000305846","fi","mi",0,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",8
55070,"1853.1349999830127","me","le",0,9,"^2_^4_v3_v2_v1_v3_v2+_^3_^5+",9
55070,"1384.6050000283867","re","re",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",1
55070,"1138.9550000894815","mi","mi",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",2
55070,"402.12500002235174","fa","fa",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",3
55070,"543.5300000244752","sol","sol",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",4
55070,"491.47000000812113","la","la",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",5
55070,"474.7549999738112","sol","sol",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",6
55070,"535.4550000047311","fa","fa",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",7
55070,"404.7499999869615","mi","mi",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",8
55070,"435.10999996215105","re","re",1,9,"^2_^3_^4_^5_^6_v5_v4_v3_v2",9
55070,"1708.9949999935925","ti","ti",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",1
55070,"482.1549999760464","la","la",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",2
55070,"494.0049999859184","sol","sol",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",3
55070,"473.24000007938594","la","la",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",4
55070,"523.9999999757856","sol","sol",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",5
55070,"573.8699999637902","fa","fa",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",6
55070,"555.9999999823049","sol","sol",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",7
55070,"473.8149999175221","la","la",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",8
55070,"444.14499995764345","sol","sol",1,9,"v7_v6_v5_^6_v5_v4_^5_^6_v5",9
55070,"4463.740000035614","mi","mi",1,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",1
55070,"551.5049999812618","fa","fa",1,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",2
55070,"1041.9349999865517","re","re",1,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",3
55070,"758.9650000445545","ti","ti",1,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",4
55070,"2801.270000054501","re","do",0,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",5
55070,"570.4549999209121","mi","re",0,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",6
55070,"496.59500003326684","mi","mi",1,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",7
55070,"546.1549999890849","fa","mi",0,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",8
55070,"1024.6650000335649","fa","fa",1,9,"^3_^4_v2_v7_^1_^2_^3_3_^4",9
