"file.id","mean.entropy","mean.productivity","mean.Simpsons.D","mean.Yules.K","mean.Sichels.S","mean.Honores.H","p.range","p.entropy","p.std","i.abs.range","i.abs.mean","i.abs.std","i.mode","i.entropy","d.range","d.median","d.mode","d.entropy","d.eq.trans","d.half.trans","d.dotted.trans","len","glob.duration","note.dens","tonalness","tonal.clarity","tonal.spike","int.cont.grad.mean","int.cont.grad.std","int.cont.dir.change","step.cont.glob.var","step.cont.glob.dir","step.cont.loc.var","mode","h.contour","int.cont.glob.dir","int.contour.class"
"m^1_v6_v5+_mono",0.5,1,0,0,0,-65.3426409720027,4,0.345687124043405,2.08166599946613,2,2,1.4142135623731,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.632322279449595,1.67013692297332,0.243286334782019,4,0,0,1.71332538385671,-0.905935760955305,0.0645161290322581,"minor","descending","-1","bbbb"
"m^1_v7_v6_v5_v4_v3_v2_mono",0,0,0,-1917.22222222222,0.2,0,10,0.612296157627471,3.71611676478603,1,1.66666666666667,0.516397779494322,1,0.203002820117208,0,2,1,0,1,0,0,7,3,2.33333333333333,0.769094890196764,1.05317028112674,0.155889686741874,3.33333333333333,0,0,3.46809021935492,-0.986448782925305,0.161290322580645,"major","descending","-1","bbbb"
"m^2_^3_^4_^5_^6_v5_v4_v3_v2_mono",0.718302000816686,0.495238095238095,0.0457142857142857,116.354875283447,0.1,78.0013711700805,7,0.497503766321894,2.34520787991171,1,1.75,0.462910049886276,4,0.400409708555853,0,2,1,0,1,0,0,9,4,2.25,0.683093126586388,1.33503089283775,0.16288731428942,0,0,0,2.2288431832419,0,0.225806451612903,"minor","convex","0","cccc"
"m^2_^4_v3_v2_v1_v3_v2+_^3_^5+_mono",0.852999878002959,0.710714285714286,0.0476190476190476,350.765306122449,0.08,97.5902020036772,8,0.52767758629778,2.24227067451229,3,2.25,1.28173988892331,5,0.497395641279383,0,2,1,0,1,0,0,9,4,2.25,0.36534534142633,1.16657881861406,0.164964499432848,2.5,3.02411956531139,0.5,2.1310135236532,0.424881518704605,0.290322580645161,"minor","ascending","1","ccdd"
"m^3_^4_^5__^6_v5_v4_v3_v2_v1_mono",0.66608660757505,0.448571428571429,0.0785714285714286,407.519841269841,0.116666666666667,78.0013711700805,9,0.545971386763123,2.72845092395748,1,1.75,0.462910049886276,1,0.386863276550632,0,2,1,0,1,0,0,9,4,2.25,0.739984905557846,1.28914229263707,0.168285815878391,1,0,0,2.59307044580697,-0.581953763072598,0.225806451612903,"major","convex","-1","cccc"
"m^3_^4_v2_v7_^1_^2_^3_3_^4_mono",0.86623163297352,0.767857142857143,0.0380952380952381,269.132653061224,0.1,92.9235353370106,6,0.47920996585655,2.16666666666667,3,1.625,1.06066017177982,3,0.42126958373543,0,2,1,0,1,0,0,9,4,2.25,0.475298778543389,1.05557066882083,0.15195744432921,2.75,2.95623345480634,0.5,2.05916084101646,0.167507581456453,0.209677419354839,"minor","concave","1","bbdc"
"m^4_^5_^6_v5_v4_v3_v2_mono",0.739136320916835,0.58,0.0666666666666667,274.444444444444,0.166666666666667,29.0831681889743,7,0.487665133635739,2.29906813420444,1,1.83333333333333,0.408248290463863,1,0.322566139516108,0,2,1,0,1,0,0,7,3,2.33333333333333,0.599446533373791,1.11676084889997,0.150925290654483,1,0,0,2.14562033825761,-0.63113812378832,0.17741935483871,"minor","convex","-1","cccc"
"m^4_v6-_v5-_^6-_^4_v2-_2-_mono",1,1,0,0,0,31.585024240202,11,0.425349621639872,4.46147530585589,9,4.33333333333333,3.82970843102535,6,0.571444035879715,0,2,1,0,1,0,0,7,3,2.33333333333333,0.872953898284444,1.24955808969494,0.238130502564387,1.33333333333333,1.91785320594154,0,4.16370094146469,0.154058857014462,0.419354838709677,"major","concave","-1","cccb"
"m^5_^6_v5_v4_v3_mono",0.496254806628815,0.645833333333333,0,711.805555555556,0.125,4.45134575869864,5,0.41918076638251,1.94935886896179,1,1.75,0.5,1,0.331597094186256,0,2,1,0,1,0,0,5,2,2.5,0.528148738204118,1.01078559652497,0.159488246261073,1.5,0,0,1.75712833908056,-0.794813480572343,0.109375,"minor","horiz-desc","-1","cccc"
"m^5_^6_v5_v4_v3_v2_v1_^2_^3_mono",0.686441303981223,0.505714285714286,0.05,121.805555555556,0.05,69.6680378367472,9,0.545971386763123,2.87711275027201,1,1.875,0.353553390593274,1,0.310737219006678,0,2,1,0,1,0,0,9,4,2.25,0.712905103642656,1.01816066013118,0.146923594405556,0.75,0,0,2.73435595871506,-0.788405609758724,0.241935483870968,"major","desc-horiz","-1","cccc"
"m^5_^6_v5_v4_v3_v2_v1_mono",0.509479946435579,0.39,0.133333333333333,513.888888888889,0.1,71.585024240202,9,0.549980645631605,3.13201593379149,1,1.83333333333333,0.408248290463863,1,0.27669106326971,0,2,1,0,1,0,0,7,3,2.33333333333333,0.798315524960732,1.10785794213826,0.16206802179629,2.33333333333333,0,0,2.92297430742101,-0.926578650528604,0.17741935483871,"major","descending","-1","bbbb"
"m^6_v4_v3_^4_^5_mono",0.6875,0.875,0,312.5,0.0833333333333333,-12.215320907968,5,0.41918076638251,2,3,2,1.4142135623731,4,0.442129458915007,0,2,1,0,1,0,0,5,2,2.5,0.621950043108383,1.36670837190995,0.20401820377206,1,0,0,1.80277563773199,-0.309875341504818,0.125,"major","concave","-1","cccc"
"m^6_v5_v4_v3_v2_mono",0,0.25,0,-1649.30555555556,0.25,-25,7,0.506422483176722,2.70185121722126,1,1.75,0.5,1,0.179344979098349,0,2,1,0,1,0,0,5,2,2.5,0.712585003666391,1.33468836604321,0.161051355719572,3.5,0,0,2.43541577559151,-0.974865079913559,0.109375,"minor","descending","-1","bbbb"
"m^6_v5+_v4_^5+_v3_v1_v7-_mono",0.912895093574485,0.833333333333333,0.0533333333333333,444.444444444444,0.0666666666666667,44.9183575735354,11,0.549980645631605,4.23702501200795,3,2.83333333333333,1.16904519445001,1,0.497755792727213,0,2,1,0,1,0,0,7,3,2.33333333333333,0.576968087293166,1.23903625151036,0.198060298455341,3.66666666666667,3.05128576629365,0,3.95423124013516,-0.901221683021144,0.274193548387097,"minor","descending","-1","ccaa"
"m1_^3_v1_^5_v3_v2_^3_mono",0.974209812851031,0.933333333333333,0.0133333333333333,111.111111111111,0.04,35.585024240202,7,0.401829021041574,2.51661147842358,5,3.66666666666667,1.86189867250253,6,0.571444035879715,0,2,1,0,1,0,0,7,3,2.33333333333333,0.749651106218407,1.08341885720824,0.219790620598859,3.33333333333333,5.83292280985675,0.5,2.34864408377644,0.364156216728352,0.354838709677419,"minor","ascending","1","ccbb"
"v1_^2_v1_v7_^1_^3_v2_mono",0.912895093574485,0.833333333333333,0.0533333333333333,444.444444444444,0.0666666666666667,44.9183575735354,5,0.401829021041574,1.73205080756888,3,2,1.09544511501033,1,0.497755792727213,0,2,1,0,1,0,0,7,3,2.33333333333333,0.613244570949367,1.39528532599882,0.199925798487059,0.666666666666667,0,0,1.61644771824097,0.440922263439162,0.193548387096774,"major","ascending","1","cccc"
"v1_v7-_^7_mono",0.5,1,0,0,0,-65.3426409720027,2,0.345687124043405,1,1,1.5,0.707106781186548,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.292344885863392,1.22065429459896,0.146749590628518,1,0,0,0.823054891753102,-0.471463917820284,0.0483870967741935,"minor","concave","-1","cccc"
"v1_v7-_7-_mono",0.5,1,0,0,0,-65.3426409720027,2,0.200284262719718,1.15470053837925,2,1,1.4142135623731,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.632245877742562,1.03851264497003,0.206285569746876,2,0,0,0.950381926622983,-0.81659945960021,0.032258064516129,"major","desc-horiz","-1","bbbb"
"v2_2_^3_^4_v2_mono",0.6875,0.875,0,312.5,0.0833333333333333,-12.215320907968,3,0.299010208750679,1.4142135623731,3,1.5,1.29099444873581,4,0.442129458915007,0,2,1,0,1,0,0,5,2,2.5,0.784143465963527,1.39362037025422,0.261481678743222,0,0,0,1.2747548783982,0.328672432950831,0.09375,"minor","convex","0","cccc"
"v2_v5_^3_mono",0.5,1,0,0,0,-65.3426409720027,5,0.345687124043405,2.51661147842358,2,4,1.4142135623731,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.732120473260288,1.10149297274201,0.195487966766524,2,0,0,2.07130938795853,0.374681528604973,0.129032258064516,"major","convex","1","dddd"
"v3_v2_v1_mono",0,0.5,0,-1250,0.5,-50,4,0.345687124043405,2,0,2,0,1,0,0,2,1,0,1,0,0,3,1,3,0.563306875132956,1.30167605361145,0.17653293828148,4,0,0,1.6461097835062,-0.942927835640568,0.0645161290322581,"major","descending","-1","bbbb"
"v4_v3_v2_mono",0,0.5,0,-1250,0.5,-50,3,0.345687124043405,1.52752523165195,1,1.5,0.707106781186548,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.677658560267019,1.78331305827585,0.245719757259061,3,0,0,1.25723711418742,-0.925936753222239,0.0483870967741935,"minor","descending","-1","bbbb"
"v5_^6+_^7_^1_5_mono",0.496254806628815,0.645833333333333,0,711.805555555556,0.125,4.45134575869864,5,0.41918076638251,2.28035085019828,4,2.5,1.73205080756888,3,0.331597094186256,0,2,1,0,1,0,0,5,2,2.5,0.741264735575821,1.21446131419324,0.206832739667696,0,0,0,2.05548047910945,0.203833989939228,0.15625,"major","convex","0","cccc"
"v5_v4_v3_mono",0,0.5,0,-1250,0.5,-50,3,0.345687124043405,1.52752523165195,1,1.5,0.707106781186548,2,0.221064729457504,0,2,1,0,1,0,0,3,1,3,0.542562568273999,1.10118888240886,0.195479131850425,3,0,0,1.25723711418742,-0.925936753222239,0.0483870967741935,"minor","descending","-1","bbbb"
"v5_v4_v3_v2_v1_mono",0,0.25,0,-1649.30555555556,0.25,-25,7,0.506422483176722,2.70185121722126,1,1.75,0.5,1,0.179344979098349,0,2,1,0,1,0,0,5,2,2.5,0.805331998408774,1.4284249958067,0.176813714475612,3.5,0,0,2.43541577559151,-0.974865079913559,0.109375,"major","descending","-1","bbbb"
"v5_v4_v6+_^7_^3+_v3_v2_v5_^4_mono",0.960375937481971,0.925,0.00714285714285714,31.25,0,79.5902020036772,12,0.642906627645581,4.04488703317053,9,4.5,3.50509832753866,4,0.607928006008135,0,2,1,0,1,0,0,9,4,2.25,0.446637150942913,1.03483722051068,0.137904846173572,4.5,6.17065013405582,0.5,3.84418753155693,-0.269179156435799,0.580645161290323,"minor","concave","-1","aecc"
"v5-_v3_3_^4+_v3_mono",0.6875,0.875,0,312.5,0.0833333333333333,-12.215320907968,2,0.211768491956466,1.09544511501033,2,1.5,1,1,0.331597094186256,0,2,1,0,1,0,0,5,2,2.5,0.589258930657919,1.05201537243922,0.188569034776839,1,0,0,0.987420882906575,-0.282876190928009,0.09375,"major","descending","-1","cccc"
"v7_v6_v5_^6_v5_v4_^5_^6_v5_mono",0.776774657160843,0.561904761904762,0.049047619047619,262.259070294785,0.19,73.6680378367472,6,0.382274724974092,1.76383420737639,0,2,0,1,0.21099169464165,0,2,1,0,1,0,0,9,4,2.25,0.56570918565166,1.23035832858389,0.181831161600506,1,0,0,1.6763161522499,-0.514409307345689,0.258064516129032,"major","descending","-1","cccc"
